DATE,Time,GDP,Percent Change of GDP,E[GDP],Net_Exports,Gov,Nominal Wages,Expected Inflation ,CPI,Mortgage Debt,All Sector Liabilites,Non-Financial Sector Liablities 
1/1/1980,1,6524.9,1.4,6572.3,-35.8,882.4,1334.9,10.2,80.1,1358.448,4394.57,875.36
4/1/1980,2,6392.6,-0.7,6609,-15.2,907.6,1351,8.5,82.5,1385.684,4470.65,880.92
7/1/1980,3,6382.9,-1.6,6643.7,5.5,941.4,1376.1,9.1,83.9,1424.577,4587.05,892.51
10/1/1980,4,6501.2,0,6677.7,-6.7,960.5,1431.7,9.7,86.4,1458.41,4729.93,919.61
1/1/1981,5,6635.7,1.7,6713.4,-14.3,1010.1,1469.1,7.2,88.6,1481.119,4832.8,936.89
4/1/1981,6,6587.3,3,6752.9,-13.5,1022.1,1496.2,7.1,90.5,1501.914,4974.59,977.13
7/1/1981,7,6662.9,4.4,6794.5,-7.6,1044.9,1528.7,6.9,93.1,1529.932,5128.67,1014.01
10/1/1981,8,6585.1,1.3,6838.6,-14.8,1086.8,1551.5,5.3,94.1,1541.314,5267.85,1038.68
1/1/1982,9,6475,-2.4,6888.2,-16.3,1105.1,1567.2,4.2,94.7,1565.583,5346.54,1069.67
4/1/1982,10,6510.2,-1.2,6939.4,-4.4,1131.2,1580.9,4.6,97,1595.672,5480.73,1099.61
7/1/1982,11,6486.8,-2.6,6991.9,-29.6,1165.7,1596,4.5,97.7,1644.772,5617.02,1120.25
10/1/1982,12,6493.1,-1.4,7045.3,-29.6,1204.0,1605.9,3.7,97.7,1702.723,5779.98,1129.93
1/1/1983,13,6578.2,1.6,7096.9,-24.5,1226.3,1623,1.8,98.1,1751.961,5895.76,1160.66
4/1/1983,14,6728.3,3.4,7148.6,-45.4,1236.2,1655.1,3.2,99.4,1807.67425,6074.52,1184.51
7/1/1983,15,6860,5.8,7201,-65.2,1268.2,1691.8,3.3,100.4,1876.28984,6264.78,1208.21
10/1/1983,16,7001.5,7.8,7254.5,-71.4,1276.0,1740.1,3.5,101.4,1939.96897,6462.93,1247.24
1/1/1984,17,7140.6,8.5,7309.8,-95.0,1300.1,1785.2,3.4,102.9,1986.66659,6652.21,1291.91
4/1/1984,18,7266,8,7367.1,-104.3,1328.9,1828.2,4.2,103.7,2212.79608,6916.99,1351.46
7/1/1984,19,7337.5,7,7425.8,-103.8,1357.6,1866.7,3,104.7,2280.73421,7147.87,1390.24
10/1/1984,20,7396,5.6,7486.1,-107.8,1399.2,1899.5,3.3,105.5,2349.65867,7422.06,1457.97
1/1/1985,21,7469.5,4.6,7548.4,-91.3,1428.9,1933.8,3,106.8,2415.33233,7646.31,1486.3
4/1/1985,22,7537.9,3.7,7612.5,-114.4,1460.1,1963.2,3.4,107.5,2463.48699,7903.86,1527.27
7/1/1985,23,7655.2,4.3,7677.7,-116.9,1489.7,1996.1,2.9,108.1,2539.70353,8176.89,1558.45
10/1/1985,24,7712.6,4.3,7743.8,-133.4,1513.2,2037.1,3.5,109.5,2625.90226,8706.25,1638.94
1/1/1986,25,7784.1,4.2,7810.1,-126.0,1531.9,2063.5,2.3,109.1,2655.580338,8888.09,1682.97
4/1/1986,26,7819.8,3.7,7876.8,-128.9,1557.7,2081.9,2.9,109.4,2737.634515,9208.66,1741.48
7/1/1986,27,7898.6,3.2,7943.7,-139.0,1600.4,2111.8,2.9,110,2829.843604,9519.36,1787.53
10/1/1986,28,7939.5,2.9,8010.6,-133.6,1598.7,2152.2,3,110.8,2899.473807,9896.64,1865.8
1/1/1987,29,7995,2.7,8076.8,-141.2,1619.7,2193.7,3,112.2,2956.685614,10096.15,1910.65
4/1/1987,30,8084.7,3.4,8142.6,-147.0,1644.9,2230.1,3.3,113.5,3025.695907,10382.86,1957.76
7/1/1987,31,8158,3.3,8208.2,-145.5,1659.2,2270.6,3,114.7,3114.009788,10627.89,1995.66
10/1/1987,32,8292.7,4.4,8273.7,-145.4,1690.1,2330.7,3.1,115.6,3187.48463,10914.28,2059.21
1/1/1988,33,8339.3,4.3,8338.8,-124.0,1705.7,2367.3,3.2,116.5,3274.088855,11109.51,2114.33
4/1/1988,34,8449.5,4.5,8404,-106.6,1721.1,2422.1,3.7,118,3329.462451,11383.55,2172.76
7/1/1988,35,8498.3,4.2,8469.1,-99.3,1733.1,2463,3.9,119.5,3399.428241,11619.93,2204.23
10/1/1988,36,8610.9,3.8,8534.2,-107.7,1778.2,2506.8,3.9,120.7,3475.699913,11982.82,2263.52
1/1/1989,37,8697.7,4.3,8599.7,-101.0,1815.5,2542.2,3.7,122.2,3526.605415,12240.34,2323.89
4/1/1989,38,8766.1,3.7,8665.4,-88.2,1853.4,2563.4,3.8,124.1,3620.445744,12448.09,2385.64
7/1/1989,39,8831.5,3.9,8731.2,-75.1,1885.5,2592,3.4,124.8,3684.734066,12649.58,2405.96
10/1/1989,40,8850.2,2.8,8797.1,-82.8,1917.2,2634.6,3.5,126.3,3740.309219,12933.52,2454.12
1/1/1990,41,8947.1,2.9,8863,-88.5,1969.3,2686.8,3.7,128.6,3781.631016,13161.91,2511.4
4/1/1990,42,8981.7,2.5,8929,-68.8,1999.3,2735.9,3.8,129.9,3825.331335,13382.27,2550.37
7/1/1990,43,8983.9,1.7,8994.8,-75.0,2025.1,2768.7,4.7,132.5,3889.721716,13589.58,2569.57
10/1/1990,44,8907.4,0.6,9060.3,-79.1,2098.7,2773.4,4.7,134.2,3892.426321,13837.66,2583.29
1/1/1991,45,8865.6,-0.9,9125.4,-47.1,2037.2,2776,3.3,134.8,3932.662105,13940.13,2575.73
4/1/1991,46,8934.4,-0.5,9189.4,-23.2,2110.7,2801.2,3.3,136,3963.237371,14085.13,2579.18
7/1/1991,47,8977.3,-0.1,9253.1,-21.1,2168.5,2826.5,3,137,3985.449309,14253.99,2557.65
10/1/1991,48,9016.4,1.2,9317,-23.1,2199.4,2854.2,2.7,138.2,4023.846983,14469.94,2524.45
1/1/1992,49,9123,2.9,9381.1,-20.5,2258.2,2913.4,2.6,139.1,4043.600751,14636.76,2544.99
4/1/1992,50,9223.5,3.2,9446.3,-32.8,2293.5,2952.8,3.1,140.1,4044.775046,14837.39,2548.42
7/1/1992,51,9313.2,3.7,9512.2,-38.5,2320.0,2976.1,3,141.1,4087.45214,15058.4,2545.01
10/1/1992,52,9406.5,4.3,9579.2,-47.1,2340.1,3019.8,2.8,142.3,4133.083292,15259.21,2543.6
1/1/1993,53,9424.1,3.3,9648.1,-55.7,2345.4,3018.5,3.1,143.3,4174.878239,15417.65,2588.23
4/1/1993,54,9480.1,2.8,9717.8,-63.2,2360.5,3065.5,3.5,144.3,4198.079605,15676.83,2630.69
7/1/1993,55,9526.3,2.3,9788.5,-68.4,2386.2,3093.3,3,145,4246.600236,15987.59,2658
10/1/1993,56,9653.5,2.6,9860,-73.4,2404.9,3140.1,3,146.3,4297.475175,16334.37,2690.37
1/1/1994,57,9748.2,3.4,9931.8,-80.6,2389.3,3152.8,3,147.1,4339.068042,16577.34,2766.29
4/1/1994,58,9881.4,4.2,10004.1,-90.6,2421.7,3224.6,2.7,147.9,4372.003769,16808.48,2810.37
7/1/1994,59,9939.7,4.3,10077.2,-96.9,2466.5,3258,3.4,149.3,4426.734178,17070.44,2841.05
10/1/1994,60,10052.5,4.1,10151.5,-101.9,2502.7,3310.9,3,150.1,4487.740269,17432.07,2887.24
1/1/1995,61,10086.9,3.5,10227,-105.3,2538.7,3360.6,3.2,151.2,4525.045542,17674.89,2958.33
4/1/1995,62,10122.1,2.4,10304.1,-109.5,2566.6,3395.3,2.9,152.4,4596.543163,17979.75,3018.87
7/1/1995,63,10208.8,2.7,10382.6,-74.4,2552.9,3438.2,2.8,153.1,4669.559071,18255,3039.16
10/1/1995,64,10281.2,2.3,10462.6,-69.8,2571.4,3478,2.7,153.9,4738.086071,18648.1,3087.93
1/1/1996,65,10348.7,2.6,10544.3,-88.8,2622.0,3525.9,2.9,155.5,4805.888566,18934.33,3135.16
4/1/1996,66,10529.4,4,10627.3,-93.7,2649.4,3590.6,2.9,156.7,4860.355049,19274.64,3191.18
7/1/1996,67,10626.8,4.1,10711.7,-114.2,2654.5,3646.7,3.2,157.7,4936.824144,19578.77,3219.38
10/1/1996,68,10739.1,4.5,10797.6,-88.8,2672.6,3702.7,3,159.1,5049.36349,19943.01,3236.78
1/1/1997,69,10820.9,4.6,10884.8,-108.8,2703.6,3777.3,2.8,159.8,5119.392536,20198.22,3303.6
4/1/1997,70,10984.2,4.3,10973.5,-85.2,2698.2,3835.5,2.8,160.2,5208.919783,20510.52,3369.71
7/1/1997,71,11124,4.7,11063.8,-96.8,2735.8,3903.7,2.8,161.2,5326.872905,20860.23,3448.6
10/1/1997,72,11210.3,4.4,11155.9,-117.0,2766.0,3990.9,2.8,161.8,5449.903561,21333.84,3513.99
1/1/1998,73,11321.2,4.6,11249.9,-135.2,2753.1,4076.3,2.5,162,5604.025821,21799.59,3629.32
4/1/1998,74,11431,4.1,11346.2,-162.3,2783.0,4146.2,2.7,162.8,5729.658649,22316.27,3739.54
7/1/1998,75,11580.6,4.1,11444.1,-174.6,2811.0,4216.8,2.3,163.5,5868.555439,22756.27,3807.4
10/1/1998,76,11770.7,5,11543.7,-178.7,2858.7,4287.1,2.5,164.4,6069.78749,23385.54,3893
1/1/1999,77,11864.7,4.8,11644.9,-208.5,2881.1,4368.9,2.7,164.8,6210.737413,23937.04,4027.17
4/1/1999,78,11962.5,4.6,11747,-245.4,2910.8,4410.7,2.5,166,6315.082472,24329.26,4103.94
7/1/1999,79,12113.1,4.6,11850.6,-276.1,2949.8,4472,2.7,167.8,6477.452609,24941.76,4242.89
10/1/1999,80,12323.3,4.7,11955.7,-296.5,3029.9,4580.4,3,168.8,6628.28699,25438.87,4300.91
1/1/2000,81,12359.1,4.2,12062,-352.8,3018.9,4752.9,3.2,171,6768.854867,25805.57,4433.33
4/1/2000,82,12592.5,5.3,12171.2,-359.6,3077.7,4780.1,2.9,172.2,6894.76642,26160.84,4554.16
7/1/2000,83,12607.7,4.1,12281.8,-388.5,3102.9,4872.6,2.9,173.6,7104.03151,26588.76,4607.67
10/1/2000,84,12679.3,2.9,12393.4,-402.4,3151.1,4897.8,2.8,174.6,7307.671767,27150.66,4659.3
1/1/2001,85,12643.3,2.3,12505.9,-391.7,3221.7,4982.7,2.8,176.1,7477.81743,27724.97,4723.2
4/1/2001,86,12710.3,0.9,12618.3,-359.3,3304.1,4963.8,3,177.7,7650.542573,28035.46,4797.66
7/1/2001,87,12670.1,0.5,12730.4,-366.7,3321.4,4936.6,2.8,178.1,7875.972942,28587.54,4816.87
10/1/2001,88,12705.3,0.2,12841.7,-357.0,3374.0,4934.6,1.8,177.4,8117.882131,29210.43,4819.44
1/1/2002,89,12822.3,1.4,12950.5,-375.3,3446.3,4952.5,2.7,178.5,8380.088415,29678.93,4838.87
4/1/2002,90,12893,1.4,13059.7,-416.0,3495.5,5000.7,2.7,179.6,8581.484161,30217.67,4830.59
7/1/2002,91,12955.8,2.3,13167.2,-431.6,3536.7,5010.9,2.5,180.8,8873.144,30750.03,4812.18
10/1/2002,92,12964,2,13272.7,-483.0,3613.6,5021.6,2.5,181.8,9148.0899,31567.51,4822.39
1/1/2003,93,13031.2,1.6,13375.7,-501.6,3678.0,5030.9,3.1,183.9,9391.15969,32098.26,4822.29
4/1/2003,94,13152.1,2,13474.2,-501.4,3755.1,5102,2.1,183.1,9643.61708,32802.62,4831.68
7/1/2003,95,13372.4,3.2,13569.6,-499.9,3779.8,5166.9,2.8,185.1,9997.698403,33454.81,4845.1
10/1/2003,96,13528.7,4.4,13661.8,-511.7,3807.6,5251.6,2.6,185.5,10319.18665,34317.13,4839.29
1/1/2004,97,13606.5,4.4,13749.3,-546.6,3900.6,5281.3,2.9,187.1,10666.49835,35686.42,4887.31
4/1/2004,98,13706.2,4.2,13833.7,-608.0,3939.1,5383.6,3.3,188.9,10950.92381,36407.06,4898.29
7/1/2004,99,13830.8,3.4,13916.1,-638.0,4008.8,5492.1,2.8,189.8,11329.98408,37172.16,4936.53
10/1/2004,100,13950.4,3.1,13997.5,-684.0,4034.9,5530.7,3,191.7,11727.73409,38122.08,4993.78
1/1/2005,101,14099.1,3.6,14080,-676.8,4142.9,5579.9,3.2,193.1,12110.2571,38905.07,5042.84
4/1/2005,102,14172.7,3.4,14162.2,-689.1,4188.7,5639.7,3.2,193.7,12523.30233,39716.49,5108.27
7/1/2005,103,14291.8,3.3,14244.6,-731.4,4326.0,5737.3,4.3,198.8,12917.46144,40409.27,5160.62
10/1/2005,104,14373.4,3,14327.5,-787.5,4351.2,5811,3.1,198.1,13250.41464,41480.89,5260.72
1/1/2006,105,14546.1,3.2,14411.7,-777.2,4393.7,5976.1,3,199.7,13526.82134,42515.46,5347.64
4/1/2006,106,14589.6,2.9,14497.1,-781.6,4463.1,6015.2,3.3,201.8,13817.67186,43514.15,5462.76
7/1/2006,107,14602.6,2.2,14583.2,-805.6,4522.1,6060.9,3.1,202.8,14128.87145,44379.34,5495.03
10/1/2006,108,14716.9,2.4,14669.8,-719.4,4479.4,6177.4,2.9,203.1,14428.26276,45425.34,5669.64
1/1/2007,109,14726,1.2,14757,-728.5,4684.6,6347.9,3,205.288,14622.71679,46601.12,5778.81
4/1/2007,110,14838.7,1.7,14846.3,-733.0,4750.4,6370.9,3.4,207.234,14766.74522,47621.92,5987.22
7/1/2007,111,14938.5,2.3,14935,-712.1,4795.8,6393.9,3.1,208.547,14807.86142,49062.62,6167.77
10/1/2007,112,14991.8,1.9,15022.3,-700.6,4845.4,6467.9,3.4,211.445,14786.52865,50095.16,6327.64
1/1/2008,113,14889.5,1.1,15107,-756.8,4923.3,6539,4.3,213.448,14716.11252,50848.09,6442.96
4/1/2008,114,14963.4,0.8,15188.7,-759.4,5104.2,6531.6,5.1,217.463,14705.64608,51221.68,6573.63
7/1/2008,115,14891.6,-0.3,15266.9,-773.6,5151.8,6544,4.3,218.877,14645.33167,51939.77,6632.9
10/1/2008,116,14577,-2.8,15340.8,-602.4,5342.9,6512.9,1.7,211.398,14540.95159,52454.16,6584.89
1/1/2009,117,14375,-3.5,15408.3,-393.9,5400.5,6230.6,2,212.495,14425.39347,52697.57,6521.72
4/1/2009,118,14355.6,-4.1,15468.8,-341.7,5626.0,6256.3,3.1,214.79,14251.91237,52525.62,6471.31
7/1/2009,119,14402.5,-3.3,15525.4,-405.6,5598.7,6239,2.2,215.861,14133.12584,52451.75,6336.37
10/1/2009,120,14541.9,-0.2,15579.1,-440.6,5618.5,6279.7,2.5,217.347,14016.72045,52181.21,6142.15
1/1/2010,121,14604.8,1.6,15630.7,-488.7,5678.6,6239.6,2.7,217.305,13793.69862,51784.5,6111.15
4/1/2010,122,14745.9,2.7,15681,-523.2,5755.2,6365.5,2.8,217.285,13714.05,51682.82,6027.9
7/1/2010,123,14845.5,3.1,15731,-535.0,5726.5,6426.4,2.2,218.281,13626.02549,52021.01,6077.78
10/1/2010,124,14939,2.7,15781.7,-503.7,5734.3,6478.6,3,220.437,13551.42878,52322.32,6004.38
1/1/2011,125,14881.3,1.9,15836.2,-562.5,5713.5,6583.6,4.6,222.955,13490.71981,52540.53,6045.18
4/1/2011,126,14989.6,1.7,15892.5,-586.9,5813.9,6615.5,3.8,224.99,13415.35503,52562.65,6110.55
7/1/2011,127,15021.1,1.2,15950.5,-572.4,5749.0,6689.6,3.3,226.674,13350.03662,52898.6,6191.13
10/1/2011,128,15190.3,1.7,16010.1,-598.1,5758.4,6643.8,3.1,227.093,13304.01578,53272.2,6264.8
1/1/2012,129,15275,2.6,16071.5,-614.8,5741.9,6861,3.9,228.732,13283.23068,53648.49,6338.96
4/1/2012,130,15336.7,2.3,16135.2,-588.5,5786.7,6877.2,3.1,228.825,13228.08795,53864.59,6424.36
7/1/2012,131,15431.3,2.7,16200.1,-541.7,5761.3,6902.7,3.3,231.086,13232.4143,54466.43,6570.53
10/1/2012,132,15433.7,1.6,16266,-528.2,5810.3,7087.4,3.2,231.099,13275.92514,55050.56,6713.31
1/1/2013,133,15538.4,1.7,16332.3,-528.0,5728.0,7034.1,3.2,232.075,13295.51192,55433.92,6794.29
4/1/2013,134,15606.6,1.8,16398,-532.0,5791.1,7110.9,3,232.86,13285.75511,55551.52,6910.36
7/1/2013,135,15779.9,2.3,16464.2,-509.9,5803.6,7145.3,3.3,233.743,13322.6216,55936.2,7049.56
,,,,,,,,,,,,
